Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
YL2AO	KO16DK	2054	GM4CXM	26	26	IO75TW		50	1641	1641	IO75	ScoredNoLog	
YL2AO	KO16DK	2055	SK0CT	54	53	JO99BM		432	422	422		ScoredNoLog	
YL2AO	KO16DK	2056	SA0CAN	54	54	JO99CH		432	401	401		ScoredNoLog	
YL2AO	KO16DK	2059	ES3TI	57	55	KO29KD		144	338	338		ScoredNoLog	
YL2AO	KO16DK	2059	MW0LKX/P	26	26	IO82KL		50	1691	1691	IO82	ScoredNoLog	
YL2CI	KO06TR	1729	YL3ND	56	58	KO17JM		50	113	113	KO17		
YL2CI	KO06TR	1731	YL2QG	58	59	KO06QR		50	16	16	KO06		
YL2CI	KO06TR	1732	OH2MDN	53	54	KO19LT		50	352	352	KO19	ScoredNoLog	
YL2CI	KO06TR	1733	OH0AZX	55	55	KP00IF		50	393	393	KP00	ScoredNoLog	
YL2CI	KO06TR	1734	SM4UEF	54	54	JP70JX		50	615	615	JP70	ScoredNoLog	
YL2CI	KO06TR	1736	SM4VBO	54	55	JP70NU		50	592	592		ScoredNoLog	
YL2CI	KO06TR	1737	YL2IV	52	53	KO06LM		50	47	47			
YL2CI	KO06TR	1740	SM0KAK	55	52	JO89XK		50	371	371	JO89	ScoredNoLog	
YL2CI	KO06TR	1742	SM0BSO	55	53	JO99BG		50	350	350	JO99	ScoredNoLog	
YL2CI	KO06TR	1744	YL2AO	56	59	KO16DK		50	53	53	KO16		
YL2CI	KO06TR	1746	YL3OI	52	53	KO26MO		50	210	210	KO26		
YL2CI	KO06TR	1748	YL2AJ	54	53	KO16OX		50	101	101			
YL2CI	KO06TR	1802	YL2QV	55	55	KO26WM		50	261	261			
YL2CI	KO06TR	1807	SM4DXO	52	52	JP70VO		50	547	547		ScoredNoLog	
YL2CI	KO06TR	1812	OZ7KJ	53	53	JO46ML		50	770	770	JO46	ScoredNoLog	
YL2CI	KO06TR	1814	OZ1JVX	57	55	JO47IA		50	785	785	JO47	ScoredNoLog	
YL2CI	KO06TR	1816	OZ5AGJ	53	599	JO47IA		50	785	785		ScoredNoLog	
YL2CI	KO06TR	1824	OE4WHG	53	54	JN87DC		50	1131	1131	JN87	ScoredNoLog	
YL2CI	KO06TR	1829	SM7KPB	54	55	JO76EP		50	443	443	JO76	ScoredNoLog	
YL2CI	KO06TR	1831	SM7HGY	56	56	JO86DR		50	326	326	JO86	ScoredNoLog	
YL2CI	KO06TR	1832	SM7ATL	55	54	JO86EQ		50	321	321		ScoredNoLog	
YL2CI	KO06TR	1838	SM7MBH	56	53	JO75EM		50	469	469	JO75	ScoredNoLog	
YL2CI	KO06TR	1846	SM6EHY	52	54	JO67CL		50	575	575	JO67	ScoredNoLog	
YL2CI	KO06TR	1849	OH1LEG	54	54	KP10FC		50	379	379	KP10	ScoredNoLog	
YL2CI	KO06TR	1854	DL3AT	56	53	JO50NW		50	942	942	JO50	ScoredNoLog	
YL2CI	KO06TR	1859	OH2MDN	54	56	KO37ML		50	0	0		Dupe 17:32	
YL2CI	KO06TR	1902	YL2GD	599	55	KO37ML		50	338	338	KO37		
YL2CI	KO06TR	1914	DL4WK	56	54	JO63SQ		50	614	614	JO63	ScoredNoLog	
YL2CI	KO06TR	1937	OH3HPV	52	54	KP21IR		50	583	583	KP21	ScoredNoLog	
YL2CI	KO06TR	1939	OH4GGW	53	53	KP31MO		50	624	624	KP31	ScoredNoLog	
YL2CI	KO06TR	1942	OH1LEG	53	53	KP10FC		50	0	0		Dupe 18:49	
YL2CI	KO06TR	1944	ES2MC	57	57	KO29GG		50	331	331	KO29	ScoredNoLog	
YL2CI	KO06TR	2003	ES0Z	55	54	KO18KT		50	244	244	KO18	ScoredNoLog	
YL2CI	KO06TR	2004	SM7FJE	57	56	JO65VU		50	493	493	JO65	ScoredNoLog	
YL2CI	KO06TR	2027	OH3FM	53	55	KP21GM		50	559	559		ScoredNoLog	
YL2CI	KO06TR	2032	SA5ACR	53	54	JO88FR		50	379	379	JO88	ScoredNoLog	
YL2CI	KO06TR	2034	SM5PAO	55	53	JO89TS		50	412	412		ScoredNoLog	
YL2CI	KO06TR	2036	SM4DXO	54	53	JP70VO		50	0	0		Dupe 18:07	
YL2CI	KO06TR	2039	SM5CUI	54	53	JO89WW		50	419	419		ScoredNoLog	
YL2CI	KO06TR	2040	SM1HOW	53	55	JO97GL		50	205	205	JO97	ScoredNoLog	
