Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2VO	KO15PX	1837	YL2AO	59	59	KO16DK	SSB	432	81	81			
LY2VO	KO15PX	1839	SK0CT	599	559	JO99BM	CW	144	499	499	JO99	ScoredNoLog	
LY2VO	KO15PX	1840	YL2AO	599	599	KO16DK	CW	144	81	81			
LY2VO	KO15PX	1848	ES7RU	599	599	KO28SI	CW	432	297	297		ScoredNoLog	
LY2VO	KO15PX	1849	SN1I	599	569	JO84CE	CW	144	493	493	JO84	ScoredNoLog	
LY2VO	KO15PX	1852	ES2AFF	59	59	KO29EE	SSB	432	363	363		ScoredNoLog	
LY2VO	KO15PX	1853	SK4EA	579	559	JO79OO	CW	144	626	626	JO79	ScoredNoLog	
LY2VO	KO15PX	1856	SK0CT	579	559	JO99BM	CW	432	499	499	JO99	ScoredNoLog	
LY2VO	KO15PX	1900	SM7EYW	559	559	JO65NK	CW	144	640	640		ScoredNoLog	
LY2VO	KO15PX	1904	ES2MC	599	599	KO29GG	CW	144	374	374		ScoredNoLog	
LY2VO	KO15PX	1918	OH0A	55	55	KP00AF	SSB	144	510	510	KP00	ScoredNoLog	
LY2VO	KO15PX	1927	SK0EN	599	569	JO99JX	CW	144	518	518		ScoredNoLog	
LY2VO	KO15PX	1934	ES4RM	559	559	KO49AL	CW	144	481	481	KO49	ScoredNoLog	
LY2VO	KO15PX	1940	OH1ND	579	559	KP00XL	CW	144	507	507		ScoredNoLog	
LY2VO	KO15PX	2003	SM7DTE	559	559	JO75CN	CW	144	570	570	JO75	ScoredNoLog	
LY2VO	KO15PX	2007	SM5EPO	559	559	JP80MC	CW	144	588	588	JP80	ScoredNoLog	
LY2VO	KO15PX	2011	SM0BSO	599	599	JO99BG	CW	144	478	478		ScoredNoLog	
LY2VO	KO15PX	2013	SK4AO/P	599	559	JP61WF	CW	144	798	798	JP61	ScoredNoLog	
LY2VO	KO15PX	2019	LY2R	599	599	KO15VS	CW	144	39	39			
LY2VO	KO15PX	2027	SP2FRY	579	559	JO83WR	CW	144	428	428	JO83	ScoredNoLog	
LY2VO	KO15PX	2030	SP2CNW	579	579	JO93AI	CW	144	447	447	JO93	ScoredNoLog	
LY2VO	KO15PX	2050	YL2AJ	599	599	KO16OX	CW	144	112	112			
LY2VO	KO15PX	2058	SM7LCB	599	559	JO86GH	CW	144	420	420	JO86	ScoredNoLog	
LY3JE	KO26TC	1702	LY2HS	59	59	KO25UO	SSB	432	56	56	KO25	ScoredNoLog	
LY3JE	KO26TC	1703	LY2CH	59	59	KO15OV	SSB	432	153	153	KO15	ScoredNoLog	
LY3JE	KO26TC	1704	LY3PEJ	59	59	KO15CL	SSB	432	225	225		ScoredNoLog	
LY3JE	KO26TC	1706	YL3GEA	59	59	KO37QM	SSB	144	191	191	KO37		
LY3JE	KO26TC	1710	LY2VO	59	59	KO15PX	SSB	144	146	146	KO15		
LY3JE	KO26TC	1711	LY2CH	59	59	KO15OV	SSB	144	153	153		ScoredNoLog	
LY3JE	KO26TC	1713	LY3PEJ	59	59	KO15CL	SSB	144	225	225		ScoredNoLog	
LY3JE	KO26TC	1715	LY2R	59	59	KO15VS	SSB	144	121	121			
LY3JE	KO26TC	1716	LY3E	59	59	KO25ES	SSB	144	87	87	KO25	ScoredNoLog	
LY3JE	KO26TC	1729	LY3FI	59	59	KO24PR	SSB	144	155	155	KO24	ScoredNoLog	
LY3JE	KO26TC	1731	LY2BBF	59	59	KO24PR	SSB	144	155	155			
LY3JE	KO26TC	1741	YL2GD	59	59	KO37ML	SSB	144	176	176			
LY3JE	KO26TC	1748	LY4AA	59	59	KO14WW	SSB	432	171	171	KO14	ScoredNoLog	
LY3JE	KO26TC	1748	YL2II	59	59	KO26OO	SSB	144	62	62	KO26		
LY3JE	KO26TC	1749	YL2GD	59	59	KO37ML	SSB	432	176	176	KO37		
LY3JE	KO26TC	1751	LY2R	59	59	KO15VS	SSB	432	121	121			
LY3JE	KO26TC	1756	YL3GEA	59	59	KO37QM	SSB	432	191	191			
LY3JE	KO26TC	1759	YL2AJ	59	59	KO16OX	SSB	144	178	178	KO16		
